siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Total_N,Cl,SO4,Br,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,lastDate
CO02,WaterY,1984,15,33,34,0.261,0.047,0.386,0.156,0.143,0.875,1.018,0.146,0.924,-9,5.036,9.96,6929.2,39.877,8,364,6/5/1984 0:00,10/2/1984 0:00
CO02,WaterY,1985,29,100,20,0.153,0.029,0.034,0.045,0.071,0.625,0.696,0.095,0.722,-9,4.939,8.446,12957.6,117.745,11,364,10/2/1984 0:00,10/1/1985 0:00
CO02,WaterY,1986,50,100,42,0.145,0.024,0.017,0.05,0.071,0.774,0.845,0.081,0.592,-9,5.002,8,15495.5,142.289,26,364,10/1/1985 0:00,9/30/1986 0:00
CO02,WaterY,1987,98,100,100,0.165,0.024,0.028,0.122,0.112,0.817,0.929,0.093,0.7,-9,5.129,7.293,25172.9,93.45,49,364,9/30/1986 0:00,9/29/1987 0:00
CO02,WaterY,1988,62,100,51,0.208,0.024,0.028,0.103,0.067,0.59,0.657,0.105,0.568,-9,5.173,6.482,18958.5,152.923,27,371,9/29/1987 0:00,10/4/1988 0:00
CO02,WaterY,1989,42,100,28,0.137,0.018,0.018,0.068,0.174,0.736,0.91,0.077,0.622,-9,5.221,6.155,12784.2,129.955,17,364,10/4/1988 0:00,10/3/1989 0:00
CO02,WaterY,1990,63,100,75,0.243,0.038,0.043,0.117,0.241,0.973,1.214,0.16,0.664,-9,5.49,7.561,19895.1,193.638,30,364,10/3/1989 0:00,10/2/1990 0:00
CO02,WaterY,1991,40,100,24,0.132,0.02,0.021,0.138,0.117,0.879,0.996,0.107,0.563,-9,5.153,6.779,11458.6,169.203,16,363,10/2/1990 0:00,9/30/1991 0:00
CO02,WaterY,1992,81,100,82,0.172,0.025,0.029,0.068,0.121,0.921,1.042,0.1,0.676,-9,5.156,7.529,21969.4,107.792,37,365,9/30/1991 0:00,9/29/1992 0:00
CO02,WaterY,1993,69,100,72,0.16,0.021,0.022,0.082,0.088,1.086,1.174,0.079,0.664,-9,5.022,8.272,18134.7,190.49,34,364,9/29/1992 0:00,9/28/1993 0:00
CO02,WaterY,1994,92,100,92,0.112,0.013,0.016,0.049,0.113,0.782,0.895,0.058,0.505,-9,5.024,6.823,30941.8,182.055,44,371,9/28/1993 0:00,10/4/1994 0:00
CO02,WaterY,1995,79,100,73,0.115,0.015,0.015,0.076,0.146,0.922,1.068,0.101,0.546,-9,4.911,8.092,20879.4,218.297,40,364,10/4/1994 0:00,10/3/1995 0:00
CO02,WaterY,1996,75,100,85,0.269,0.03,0.037,0.105,0.155,0.854,1.009,0.107,0.573,-9,5.102,7.354,21024.3,247.056,38,364,10/3/1995 0:00,10/1/1996 0:00
CO02,WaterY,1997,71,100,76,0.124,0.013,0.019,0.041,0.106,0.741,0.847,0.056,0.416,-9,5.041,6.335,28129.9,261.48,34,364,10/1/1996 0:00,9/30/1997 0:00
CO02,WaterY,1998,81,100,75,0.166,0.019,0.03,0.038,0.126,0.995,1.121,0.062,0.531,-9,4.97,7.989,26202.199,184.63,36,364,9/30/1997 0:00,9/29/1998 0:00
CO02,WaterY,1999,67,100,68,0.13,0.015,0.018,0.031,0.096,0.876,0.972,0.057,0.463,-9,4.993,7.143,24230.6,245.405,33,364,9/29/1998 0:00,9/28/1999 0:00
CO02,WaterY,2000,75,100,56,0.458,0.04,0.057,0.086,0.32,1.383,1.703,0.11,0.833,-9,5.235,9.455,20967.4,252.07,34,371,9/28/1999 0:00,10/3/2000 0:00
CO02,WaterY,2001,75,100,95,0.231,0.025,0.021,0.047,0.171,1.076,1.247,0.052,0.548,-9,5.088,7.682,37373.9,211.612,38,364,10/3/2000 0:00,10/2/2001 0:00
CO02,WaterY,2002,62,100,69,0.273,0.031,0.039,0.034,0.154,1.221,1.375,0.064,0.48,-9,5.08,8.114,20475.8,197.405,30,364,10/2/2001 0:00,10/1/2002 0:00
CO02,WaterY,2003,67,100,81,0.423,0.037,0.028,0.043,0.155,1.183,1.338,0.087,0.472,-9,5.107,8.506,22591.8,204.433,30,364,10/1/2002 0:00,9/30/2003 0:00
CO02,WaterY,2004,65,100,75,0.24,0.029,0.049,0.03,0.197,0.992,1.189,0.051,0.472,-9,5.171,7.201,22438,200.86,31,364,9/30/2003 0:00,9/28/2004 0:00
CO02,WaterY,2005,71,100,87,0.224,0.026,0.026,0.053,0.162,1.041,1.203,0.057,0.491,-9,5.126,7.247,31632.7,139.386,33,364,9/28/2004 0:00,9/27/2005 0:00
CO02,WaterY,2006,78,100,84,0.172,0.018,0.027,0.025,0.136,0.825,0.961,0.043,0.397,-9,5.128,6.536,23683.4,234.934,39,371,9/27/2005 0:00,10/3/2006 0:00
CO02,WaterY,2007,69,98,82,0.201,0.022,0.025,0.028,0.246,1.08,1.326,0.044,0.487,-9,5.134,6.985,25264.8,141.253,34,364,10/3/2006 0:00,10/2/2007 0:00
CO02,WaterY,2008,69,100,59,0.161,0.017,0.018,0.037,0.173,0.826,0.999,0.051,0.339,-9,5.161,6.13,22744.5,153.898,29,364,10/2/2007 0:00,9/30/2008 0:00
CO02,WaterY,2009,83,100,86,0.651,0.033,0.037,0.042,0.111,0.571,0.682,0.054,0.432,-9,5.34,7.144,19369,161.876,42,364,9/30/2008 0:00,9/29/2009 0:00
CO02,WaterY,2010,79,96,90,0.487,0.033,0.029,0.04,0.125,0.683,0.808,0.057,0.331,-9,5.265,7.116,22737.4,189.732,36,364,9/29/2009 0:00,9/28/2010 0:00
CO02,WaterY,2011,88,100,87,0.158,0.018,0.019,0.031,0.115,0.602,0.717,0.048,0.3,-9,5.223,5.067,31112.8,258.425,43,364,9/28/2010 0:00,9/27/2011 0:00
CO02,WaterY,2012,60,96,51,0.166,0.019,0.019,0.031,0.175,0.601,0.776,0.044,0.323,-9,5.444,4.529,12153.6,154.553,24,371,9/27/2011 0:00,10/2/2012 0:00
CO02,WaterY,2013,67,98,72,0.171,0.02,0.022,0.023,0.208,0.605,0.813,0.04,0.327,-9,5.422,4.988,32349.6,133.536,31,364,10/2/2012 0:00,10/1/2013 0:00
CO02,WaterY,2014,50,98,36,0.127,0.019,0.02,0.027,0.259,0.765,1.024,0.038,0.404,-9,5.293,5.87,19457,171.535,23,364,10/1/2013 0:00,9/30/2014 0:00
CO02,WaterY,2015,70,91,73,0.106,0.012,0.013,0.023,0.155,0.473,0.628,0.032,0.235,-9,5.277,4.503,31016.9,133.784,33,364,9/30/2014 0:00,9/29/2015 0:00
CO02,WaterY,2016,73,92,82,0.171,0.02,0.026,0.033,0.188,0.52,0.708,0.047,0.237,-9,5.561,4.231,31025.9,144.954,33,364,9/29/2015 0:00,9/27/2016 0:00
CO02,WaterY,2017,72,77,89,0.146,0.016,0.016,0.024,0.189,0.533,0.722,0.041,0.247,-9,5.397,4.242,34049.4,100.834,33,371,9/27/2016 0:00,10/3/2017 0:00
CO02,WaterY,2018,69,98,59,0.265,0.029,0.035,0.039,0.2,0.612,0.812,0.066,0.29,-9,5.598,4.924,21640.9,193.635,32,364,10/3/2017 0:00,10/2/2018 0:00
